Provider,Region,Date,Hour of Day,No of calls to user,No of calls from user,Distinct users for the hour,Distinct hourly users with outgoing calls,Distinct users for the day,Distinct daily users with outgoing calls,Distinct users for the week,Distinct weekly users with outgoing calls
Ola Cabs,Andhra Pradesh,20180917,9,195,1460,568,423,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,11,354,1029,664,432,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,12,346,1080,718,458,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,13,380,916,674,406,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,14,352,956,639,387,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,15,298,827,548,328,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,16,291,618,454,266,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,4,279,874,643,429,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,17,204,421,311,193,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,18,112,196,174,104,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,19,49,132,99,65,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,20,49,63,63,34,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,21,37,104,68,43,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,22,81,114,119,66,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,23,164,175,201,93,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,0,207,254,277,146,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,5,165,923,586,453,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,1,224,357,342,206,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,2,272,577,506,308,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,3,401,703,646,358,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,10,207,1066,569,409,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,6,186,1282,593,464,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,7,183,1939,607,477,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180917,8,189,1648,579,434,5854,2514,24372,7255
Ola Cabs,Andhra Pradesh,20180918,4,280,860,631,422,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,6,134,1018,560,465,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,7,90,1137,519,455,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,8,112,1373,553,460,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,9,198,1259,604,447,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,10,260,1100,642,452,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,11,312,1212,710,477,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,12,350,1536,733,466,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,13,412,1021,692,406,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,14,392,868,662,397,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,15,274,781,500,321,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,16,203,617,397,244,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,17,211,412,299,172,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,18,94,179,157,98,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,19,49,141,88,54,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,20,43,70,58,32,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,21,34,59,49,32,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,22,75,104,93,53,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,23,116,124,140,75,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,5,156,855,577,456,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,0,148,209,207,109,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,1,224,325,316,179,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,2,281,569,516,317,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180918,3,365,715,649,394,5511,2474,24372,7255
Ola Cabs,Andhra Pradesh,20180919,4,359,1227,766,489,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,6,230,1296,662,484,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,7,126,1659,578,481,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,8,166,1824,620,487,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,9,197,1862,645,492,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,10,261,1924,655,465,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,11,315,3385,740,506,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,12,373,1839,760,499,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,13,350,1311,699,451,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,14,324,985,627,391,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,15,226,798,488,325,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,16,234,585,404,244,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,17,126,391,261,172,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,18,79,172,143,87,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,19,60,172,104,65,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,20,41,96,71,46,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,21,44,85,70,44,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,22,68,119,104,62,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,23,83,147,124,68,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,5,241,1357,697,514,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,0,116,217,202,117,5727,2552,24372,7255
Ola Cabs,Andhra Pradesh,20180919,1,164,385,283,176,5727,2552,24372,7255
